आफ्रिकाखण्डः	Afrika
सेसिल पावेल	Cecil Powell
लुइ अल्वारेज़	Luis Alvarez
अन्ताराष्ट्रियः व्यापारः	Internationale handel
खजुराहो	Khajuraho
खण्डकाव्यानि	Ode (dichtkunst)
फतेह्-पुर्-सिक्री	Fatehpur Sikri
जिद्दु कृष्णमूर्ति	Jiddu Krishnamurti
स्टीवन वैनबर्ग	Steven Weinberg
जोर्ज एफ स्मूट	George Smoot
लीयो एसाकी	Leo Esaki
पुनर्गमनवाद	Recursie
सुवर्णमन्दिरम्	Harmandir Sahib
आदिशङ्कराचार्यः	Shankara
स्टार् वार्स्:अटाक् आफ़् दि क्लोन्स्	Star Wars: Episode II: Attack of the Clones
साञ्चीस्तूपः	Sanchi
ब्रायन जोसेफसन	Brian Josephson
चेन निंग यांग	Chen Ning Yang
महाथिर मोहमद	Mahathir Mohammed
तन्त्रशास्त्रम्	Tantra (yoga)
कर्पूरम्	Kamfer
झांसी लक्ष्मीबाई	Rani Lakshmibai
अगस्टा, जार्जिया	Augusta (Georgia)
प्लास्टिक शल्यचिकित्सा	Plastische chirurgie
अलङ्काराः	Stijlfiguur
आडुबान् जान् जेम्स्	John James Audubon
रेखिचिकित्सा	Reiki
श्रीरामकृष्णपरमहंसः	Ramakrishna
जलमालिन्यम्	Watervervuiling
हंस:	Anser (geslacht)
मोक्षः	Moksha
जीवविकासवादः	Darwinisme
ॐ	Om (mantra)
थामस् हेन्रि हक्स्लि	Thomas Huxley
अजन्तागुहाः	Ajanta
पेट्रिक एम एस ब्लाकेट	Patrick Blackett
सिन-इतिरो तोमोनागा	Shinichiro Tomonaga
चार्ल्स् एच् टाउन्स्	Charles Townes
गेरार्डस 'टी हूफ्ट	Gerard 't Hooft
मारीस् एच् विल्किन्स्	Maurice Wilkins
तर्जनी	Wijsvinger
हास्टिंग्स बान्डा	Hastings Kamuzu Banda
दण्डकूर्दनम्	Polsstokhoogspringen
मणिबन्धः	Pols (anatomie)
अर्जुनः	Arjoena
मिग्नेल् सर्वेटस्	Michael Servet
वैश्यः	Vaishya
अयोध्या	Ayodhya
गङ्गटोक्	Gangtok
धर्मशाला, हिमाचलप्रदेशः	Dharamsala
जुलियन श्विंगर	Julian Schwinger
विलिस इ लाम्ब	Willis Lamb
दाहोदमण्डलम्	Dahod (district)
कार्लो रुबिया	Carlo Rubbia
त्रिः कूर्दनम्	Hink-stap-springen
राबर्ट १	Robert I van Schotland
कुतुब् मिनार्	Qutb Minar
डैनी वेल्बेक	Danny Welbeck
चन्द्रगुप्तमौर्यः	Chandragupta Maurya
पुराणानि	Purana's
हनुमान्	Hanoeman
राष्ट्रियपुस्तकालयः (इजरायल्)	Nationale Bibliotheek van Israël
नेविल एफ मोट्ट	Nevill Mott
एल्लोरागुहाः	Ellora
पाणिनिः	Pāṇini
मेल्विन श्वार्ट्ज	Melvin Schwartz
निकोलास ब्लोम्बर्गन	Nico Bloembergen
इस्कान् संस्था	Hare Krishna-beweging
हिब्रूभाषा-अकादमी	Academie voor de Hebreeuwse Taal
आर्थर एल शालो	Arthur Schawlow
मेमेन्टो	Memento (film)
जेम्स रेनवाटर	James Rainwater
विलियम डी फिलिप्स	William Daniel Phillips
मार्टिन राइल	Martin Ryle
फिलिप दबल्यु एन्डरसन	Philip Anderson (natuurkundige)
फ्रान्सिस् गाल्टन्	Francis Galton
लुक्रेजिया बोर्गिया	Lucrezia Borgia
सीता	Sita (godin)
गोदावरीनदी	Godavari
प्राकृतम्	Prakrit
श्री अरविन्दः	Aurobindo
गोल् गुम्बज़	Gol Gumbaz
अनामिका	Ringvinger
ऐजोल	Aizawl (stad)
छन्दः	Metrum
लीयोन एम लीडरमन	Leon Lederman
चार्ल्स बार्क्ले	Charles Barkley
भारतस्य प्रधानमन्त्री	Lijst van premiers van India
ए जे लेगेट	Anthony Leggett
काजीराङ्गाराष्ट्रियोद्यानम्	Kaziranga
वर्नियरमापकम्	Nonius
उष्णरक्तप्राणिनः	Warmbloedig
जेम्स क्रोनिन	James Cronin
कृष्णा	Krishna (rivier)
केनेथ् जी विल्सन्	Kenneth Wilson
हीनयानम्	Hinayana
सत्याग्रहः	Satyagraha
शशि थरूर	Shashi Tharoor
राजेन्द्र प्रसाद	Rajendra Prasad
देहरादून	Dehradun (stad)
गुवाहाटी	Guwahati
विश्वपरिसरदिनम्	Wereldmilieudag
बार्बर मेक्लिन्टाक्	Barbara McClintock
उपमालङ्कारः	Vergelijking (beeldspraak)
विशाखपट्टणमण्डलम्	Visakhapatnam (stad)
विजयवाडा	Vijayawada
जोधपुरम्	Jodhpur (Rajasthan)
अजमेर	Ajmer (stad)
जोनास् एड्वर्ड् साक्	Jonas Salk
उज्जैन	Ujjain (stad)
लुधियाना	Ludhiana (stad)
मेरठ	Meerut (stad)
मथुरा	Mathura (stad)
उदयपुरम्	Udaipur (Rajasthan)
लाल्बाग्	Lal Bagh
औरङ्गाबाद् (महाराष्ट्रम्)	Aurangabad (stad in Maharashtra)
बीकानेर	Bikaner
जबलपुरम्	Jabalpur (stad)
कास्सोवारिस्	Casuarius
रिचार्ड इ टेलर	Richard Taylor (natuurkundige)
विज्ञानेतिहासः	Wetenschapsgeschiedenis
अलिगढ, उत्तरप्रदेशः	Aligarh (stad)
अमृतसरमण्डलम्	Amritsar (district)
ग्यास्पर्डड-गुस्ताव डि कोरियोलिस	Gustave-Gaspard Coriolis
सामाजिकमाध्यमानि	Sociale media
ब्रह्मगुप्तः	Brahmagupta
प्लासीयुद्धम्	Slag bij Plassey
गुरुग्रन्थसाहिब	Goeroe Granth Sahib
पोर्ट्ब्लेरः	Port Blair
रिचर्ड क्रामवेल	Richard Cromwell
जेर्टि थेरेसा कोरि	Gerty Cori
सिरोहीमण्डलम्	Sirohi (district)
सन्धिः	Sandhi
गाझियाबाद्, उत्तरप्रदेशः	Ghaziabad (stad)
संस्कृतम्.ओआरजी	Kruid (keuken)
उडुपचालनक्रीडा	Raften
कटकम्	Cuttack (stad)
ठाणे	Thane (stad)
शिलाङ्ग	Shillong
ट्रिचिमलैदुर्गम्	Tiruchirappalli (stad)
जगन्नाथपुरी	Puri (stad)
इन्द्रियनिग्रहः	Kuisheid
महाबलिपुरम्	Mahabalipuram
इम्फाल	Imphal
मु अम्मर् गडाफ़ि	Saif al-Islam al-Qadhafi
फेडेरिको माकेडा	Federico Macheda
भारतचीनयुद्धम्	Sino-Indiase oorlog
दूर्वा	Handjesgras
जलियान्वालाबाग हत्याकाण्डः	Slachting van Amritsar
सूत्रम्	Soetra
गङ्गानद्याः डोल्फिन	Gangesdolfijn
चेरापूञ्जी	Cherrapunji
मियाण्डर्	Meander (rivier)
काञ्चिपुरम्	Kanchipuram (stad)
बरेली	Bareilly (stad)
वारङ्गल् दुर्गम्	Warangal (stad)
तबला (वाद्यम्)	Tabla
भारतीयसर्वोच्चन्यायालयः	Hooggerechtshof van India
प्रकृतिचिकित्सा	Natuurgeneeswijze
पणजी	Panaji
वितस्ता	Jhelum (rivier)
एड्डिङ्गटन् सर् अर्थर् स्ट्यान्ले	Arthur Eddington
नारिकेलतैलम्	Kokosolie
कावेरीनदी	Kaveri
नालन्दाविश्वविद्यालयः	Nalanda (stad)
चम्पा	Koninkrijk Champa
चन्द्रभागा	Chenab
हर्षवर्धनः	Harsha
रागः	Raga
नारङ्गफलरसः	Sinaasappelsap
दलितजनः	Dalit
आर् लेनेक् मानारल्	René Laennec
नाविकनीलः	Ultramarijn
डैरेन गिब्सन	Darron Gibson
कन्याकुमारी	Kanyakumari (plaats)
जेम्स ३	Jacobus III van Schotland
श्वेतपत्रम्	Witboek (document)
स्वामी दयानन्दसरस्वती	Dayananda Saraswati
मेरी १	Mary I
एलिजाबेथ	Elizabeth
कनिष्ठिका	Pink (vinger)
हिप्पोक्रेटस	Hippocrates
मधुरै	Madurai (stad)
कलियुगम्	Kali Yuga
भारतस्य राष्ट्रियपञ्चाङ्गम्	Indiase kalender
भारतीय-अन्तरिक्ष-अनुसन्धान-सङ्घटनम् (ISRO)	Indian Space Research Organisation
कस्तूरिमृगः	Muskusherten
लोकसभा	Lok Sabha
अण्णा हजारे	Anna Hazare
पतञ्जलिः	Patanjali
बोअ क्वोन्	BoA
माधुरी दीक्षित	Madhuri Dixit
जम्बूफलम्	Jambolan
कोशातकी	Luffa
अटल बिहारी वाजपेयी	Atal Bihari Vajpayee
अक्षय कुमार	Akshay Kumar
पञ्चतन्त्रम्	Pañcatantra
नर्मदानदी	Narmada (rivier)
मगधदेश:	Magadha
कोहिमा	Kohima (stad)
बिल्वः	Slijmappel
शिग्रुः	Moringa oleifera
श्रीविजयराजवंशः	Koninkrijk Srivijaya
भारतीयसाम्यवादिपक्षः(मार्क्सवादी)	Communistische Partij van India (Marxistisch)
एलिजबेत् ब्ल्याक्वेल्	Elizabeth Blackwell
आल्लाह्	Allah
भक्तिवेदान्तस्वामी प्रभुपादः	A.C. Bhaktivedanta Swami Praphupada
जेम्स १ (स्काटलैंड)	Jacobus I van Schotland
के आर् नारायणन्	Kocheril Raman Narayanan
केवलादेव्-राष्ट्रियोद्यानम्	Nationaal Park Keoladeo
छत्रपतिशिवाजीटर्मिनस्	Chhatrapati Shivaji Terminus
पाण्डवाः	Pandava (epos)
कटिः	Taille (anatomie)
सुरेन्द्रनगरमण्डलम्	Surendranagar (district)
सोलापुरम्	Solapur (stad)
दाण्डीयात्रा	Zoutmars
डेविड २	David II van Schotland
छत्रपति शिवाजी	Shivaji
ॐ मणि पद्मे हूँ	Om mani padme hum
मिन्दौगः	Mindaugas
सहारनपुरम्	Saharanpur (stad)
झान्सी	Jhansi (stad)
गोरखपुरम्	Gorakhpur (stad)
लाल बहादूर शास्त्री	Lal Bahadur Shastri
राज्यसभा	Rajya Sabha
कृष्णनिम्बपत्रम्	Kerrieboom
महर्षि महेश योगी	Maharishi Mahesh Yogi
ऐन्डर्स लिनडेगार्ड	Anders Lindegaard
भारतद्वारम्	India Gate
विचिटा	Wichita
यष्टी	Zoethout
अमरेलीमण्डलम्	Amreli (district)
गोराणी	Guarplant
कस्तूरबा	Kasturba Gandhi
अस्थि	Bot (anatomie)
पीठम्	Plint (architectuur)
मिल्खा सिंह	Milkha Singh
जार्ज ५	George V van het Verenigd Koninkrijk
बेळगावी	Belgaum (stad)
इन्दोनेशिया राष्ट्रपति सूची	Lijst van presidenten van Indonesië
कवरत्ती	Kavaratti
विन्ध्यः	Vindhyagebergte
दिसपुर	Dispur
बाष्पस्थाली	Hogedrukpan
जेम्स २ (स्काटलैंड)	Jacobus II van Schotland
हरिद्वारम्	Haridwar (stad)
पी वी नरसिंह राव्	Narasimha Rao
ग्रन्थसम्पादनप्रविधिः	Tekstkritiek (algemeen)
सीताफलम्	Annona (geslacht)
आम्ब्रोस् पारे	Ambroise Paré
कारैकल्	Karaikal
यानम्, पाण्डीचेरी	Yanam
माहे	Mahé (India)
नोयडा	Noida
वन्दे मातरम्	Vande Mataram
श्वेताम्बरः सम्प्रदायः	Shvetambar
जार्ज ६	George VI van het Verenigd Koninkrijk
शिवमोग्गामण्डलम्	Shimoga (stad)
चम्पावतमण्डलम्	Champawat (district)
रमणमहर्षिः	Ramana Maharshi
कोटो (वाद्यम्)	Koto (instrument)
राबर्ट ३	Robert III van Schotland
लियाण्डर् पेस्	Leander Paes
जार्ज् वाशिङ्ग्टन् कार्वर्	George Washington Carver
डयोस्कोरिडीस्	Pedanius Dioscorides
आर् वेङ्कटरामन्	Ramaswamy Venkataraman
मडिकेरी	Madikeri
इडुक्की मण्डलम्	Idukki (district)
पुरुलियामण्डलम्	Purulia (district)
जाह्न बालियोल	John Balliol
आम्रातकम्	Spondias
बेन अमोस	Ben Amos
हीरोफिलस्	Herophilos van Chalcedon
परमहंसयोगानन्‍दः	Paramahansa Yogananda
अश्वघोषः	Aśvaghoṣa
महेशभूपतिः	Mahesh Bhupathi
वि वि गिरि	Varahagiri Venkata Giri
राबर्ट २	Robert II van Schotland
गुरु गोविन्द सिंह	Goeroe Gobind Singh
तुलसीदासः	Tulsidas
भारतस्य राष्ट्रपतिः	President van India
इरावती	Ravi (rivier)
सिलवासा	Silvassa
बीजपूरफलम्	Psidium
अश्वत्थवृक्षः	Bodhiboom
कोल्लम्	Kollam (stad)
भारतरत्नम्	Bharat Ratna
घृतम्	Ghee
सारनाथम्	Sarnath
उत्पतनी	Trampoline
मत्स्यावतारः	Matsya
कोटा	Kota (Rajasthan)
मोरादाबाद्	Moradabad (stad)
भारतीयवायुसेना	Indiase luchtmacht
भीमबेट्का-शिलाश्रयाः	Rotsschuilplaatsen van Bhimbetka
शङ्कर दयाल शर्मा	Shankar Dayal Sharma
भरतनाट्यम्	Bharata natyam
चन्द्रशेखरसिंह	Chandra Shekhar
काजी नजरुल इसलाम	Kazi Nazrul Islam
मसानबु फ़ुकोका	Masanobu Fukuoka
गीर अभयारण्यम्	Gir Forest National Park
एरण्डतैलम्	Wonderolie
उत्तर २४ परगणामण्डलम्	Uttar 24 Parganas
पोप बेनेडिक्ट	Paus Benedictus
जेम्स १	Jacobus I
औरङ्गाबाद	Aurangabad
आदिवासिनः	Adivasi
गुरु अर्जुन दास	Goeroe Arjan
गुरु अङ्गद देव	Goeroe Angad
रामदुर्गम्	Ramdurg
रायपुर	Raipur (stad)
भारतीयदर्शनशास्त्रम्	Indische filosofie
एरासिस्ट्राटस्	Erasistratos
राजेन्द्रकुमारः पचौरि	Rajendra Pachauri
बङ्किमचन्द्र चट्टोपाध्याय	Bankim Chandra Chattopadhyay
उशीरसस्यम्	Vetiver
विक्रम सेठ	Vikram Seth
विकिपीडिया:वैज्ञानिक-शब्दावलिः/V	Energiebesparing
कार्तिकेयः	Murugan
राजसर्षपः	Zwarte mosterd
मङ्गल पाण्डेय	Mangal Pandey
दुर्गा	Durga
पाटना	Patliputra
अग्निः	Agni
जेम्स २	Jacobus II
जाह्न	John
मार्गशीर्षमासः	Maargashiirsha
अहमदाबादमण्डलम्	Ahmedabad (district)
अहमदनगरमण्डलम्	Ahmednagar (district)
मातारामराजवंशः	Koninkrijk Mataram
कारगिलयुद्धम्	Kargil-oorlog
ऐहोळे	Aihole
पोप जान पाल	Paus Johannes Paulus
अजमेरमण्डलम्	Ajmer (district)
यवाग्रजः	Ajowan
अक्बरपुरम्, अम्बेडकरनगरम्	Akbarpur (Ambedkar Nagar)
खाद्यतैलम्	Spijsolie
कारवेल्लम्	Sopropo
बळ्ळारीमण्डलम्	Bellary (stad)
पाटलः	Roze
उत्तरपूर्वदेहलीमण्डलम्	Noordoost-Delhi
कृष्णजन्माष्टमी	Janmashtami
अलवरमण्डलम्	Alwar (district)
अमर गोपाल बोस	Amar Bose
अम्बेडकरनगरमण्डलम्	Ambedkar Nagar
आमेर	Fort Ajmer
बीदरनगरम्	Bidar
सोलन्	Solan (stad)
महाबळेश्वरम्	Mahabaleshwar
माथेरान्	Matheran
एनी बेसन्ट्	Annie Besant
डि. के. पट्टम्माळ्	D.K. Pattammal
माता अमृतानन्‍दमयी	Mata Amritananda Mayi
सुल्ताना ऱसीया	Razia Sultan
होय्सळवंशः	Hoysala
आसनम्	Asana
गुरु हरकिशन	Goeroe Har Krisjan
विजय् अमृतराज्	Vijay Amritraj
अलि अक्बर् खान्	Ali Akbar Khan
श्री श्री रविशङ्करः	Ravi Shankar (spiritueel leider)
प्रथम कुमारगुप्तः	Kumaragupta I
एडवर्ड बालियोल	Edward Balliol
लवनीयम्	Custardappel
कार्तिकमासः	Kaartika
कूर्मावतारः	Koerma
चार्वाकदर्शनम्	Charvaka
गोमतीनदी	Gomti
कशेरुः	Wervelkolom
लुईस नानी	Nani (voetballer)
मानवरहितविमानम्	Onbemand luchtvaartuig
मुहम्मद इकबाल	Mohammed Iqbal
मुद्गः	Mungboon
औरङ्गजेबः	Aurangzeb
आणन्दमण्डलम्	Anand (district)
नद्यावली विस्तारः च	Lijst van langste rivieren ter wereld
हुमायून्	Humayun
श्रीगङ्गानगरम्	Ganganagar (stad)
हृषीकेशः	Rishikesh
अ	Centrale bijna-open klinker
सन्तूर् (वाद्यम्)	Santoor
मानसवन्यजन्तुधाम	Nationaal park Manas
ज्	Stemhebbende alveolaire fricatief
एजिकील् फ्रैएर्स्	Ezekiel Fryers
मडगांव	Margao
अकोलामण्डलम्	Akola (district)
गदग	Gadag-Betigeri
आजमगढ-नगरम्	Azamgarh (stad)
रीवामण्डलम्	Rewa (district)
दक्षिणदिनाजपुर-मण्डलम्	Dakshin Dinajpur
सबाधधावनम्	Hordelopen
दक्षिणभारतम्	Zuid-India
कगायान	Cagayan (rivier)
हुगलिमण्डलम्	Hooghly (district)
पश्चिमदेहलीमण्डलम्	West-Delhi
प्राचीनगोवा	Oud Goa
बि.के.एस्. अय्यङ्गार्	B.K.S. Iyengar
भरतपुरम्	Bharatpur (India)
अनुपम खेर	Anupam Kher
झार्सुगुड मण्डलम्	Jharsuguda (district)
वडोदरामण्डलम्	Vadodara (district)
उत्तरकन्नडमण्डलम्	Uttara Kannada
पाटण	Patan (Gujarat)
औराद	Aurad
औरैया	Auraiya (India)
अक्बरपुरम्, रमाबायीनगरम्	Akbarpur (Kanpur Dehat)
अथणी (कर्णाटकम्)	Athni
उडुपीमण्डलम्	Udupi (stad)
अम्रोहा	Amroha
बलियामण्डलम्	Ballia (district)
आनॆकल्	Anekal
बदरीनाथः	Badrinathpuri
अल्मोडा	Almora (stad)
अमरकण्टक	Amarkantak
अशोकनगरम्	Ashoknagar (stad)
अम्बाजी (आरासुर)	Ambaji
एडवर्ड ८	Eduard VIII van het Verenigd Koninkrijk
बादामी	Badami
मैसूरुमण्डलम्	Mysore (district)
औरङ्गाबादमण्डलम्	Aurangabad (district in Maharashtra)
न्यायदर्शनम्	Nyaya
राजसमन्दमण्डलम्	Rajsamand (district)
भारतीयमानकसमयः	Indian Standard Time
कुसुमकन्दरराष्ट्रियोद्यानम्	Nationaal park Valley of Flowers
आग्रामण्डलम्	Agra (district)
सोनभद्रमण्डलम्	Sonbhadra
रमाबायीनगरमण्डलम्	Kanpur Dehat
पश्चिमसिक्किममण्डलम्	West-Sikkim
बलरामपुरम्	Balrampur (stad)
कन्नौज	Kannauj (stad)
धार	Dhar (stad)
सेवफलरसः	Appelsap
श्योपुरमण्डलम्	Sheopur (district)
अङ्गुली	Vinger
उमरियामण्डलम्	Umaria (district)
रसः	Rasa (gemoedstoestand)
होशङ्गाबादमण्डलम्	Hoshangabad (district)
भारतीयप्रौद्योगिकसंस्थानानि (IIT)	Indian Institutes of Technology
दधि	Wrongel
बागपत्	Bagpat (stad)
अरावली	Aravalligebergte
कन्नौजमण्डलम्	Kannauj (district)
गुरु हर राय	Goeroe Har Rai
साबरमतीनदी	Sabarmati
दीव	Diu (stad)
जबलपुरमण्डलम्	Jabalpur (district)
बाराबङ्कीमण्डलम्	Barabanki (district)
बैलहोङ्गल्	Bail Hongal
बहरैच्	Bahraich (stad)
बागेश्वरम्	Bageshwar (stad)
कारैकलमण्डलम्	Karaikal (district)
पाण्डीचेरीनगरम्	Puducherry (stad)
उरयी	Orai
बालाघाटमण्डलम्	Balaghat (district)
आश्विनमासः	Ashvina
रावेल मॉरिसन	Ravel Morrison
सर्वभारतीय-अण्णा द्राविड मुन्नेत्र कळगम् (ए आइ ए डि एम् के)	All India Anna Dravida Munnetra Kazhagam
शुङ्गवंशः	Shungadynastie
वैशेषिकदर्शनम्	Vaisheshika
फीरोजपुर	Fiozpur
कूष्माण्डम्	Waspompoen
श्रीरङ्गपट्टणम्	Srirangapatna
सिर्मौरमण्डलम्	Sirmaur (district)
स्थिरवलयलम्	Ringen (turntoestel)
गान्धिजयन्ती	Gandhi Jayanti
खोर्धा मण्डलम्	Khordha (district)
वेष्ट्-इण्डीस्	Caraïben
देहलीविश्वविद्यालयः	Universiteit van Delhi
केरळस्य सागरपूर्वजलप्रवासः	Backwaters
मसूरी	Mussoorie
बून्दीमण्डलम्	Bundi (district)
लार्नेल कोल	Larnell Cole
हेन्री ७	Hendrik VII van Engeland
तेलङ्गाणाराज्यम्	Telangana
राष्ट्रपतिभवनम्	Rashtrapati Bhavan
श्रीमद्भागवतपुराणम्	Srimad bhagavatam
भद्रक् मण्डलम्	Bhadrak (district)
शौचम्	Reinigen
नान्देडमण्डलम्	Nanded (district)
उत्तरदेहलीमण्डलम्	Noord-Delhi
मौण्ट् अबु	Abu (berg)
संसद्‍ (भारतम्)	Parlement van India
तापीनदी	Tapti (rivier)
बसवनबागेवाडी	Basavana Bagevadi
बसवकल्याणम्	Basavakalyan
वराहमूल	Baramulla (stad)
औदुम्बरवृक्षः	Ficus racemosa
बस्ति, उत्तरप्रदेशः	Basti (district)
वाल्मीकिः	Valmiki
आर्यसमाजः	Arya Samaj
शाल्मलिः	Bombax
दाण्डेली अभयारण्यम्	Dandeli
अष्टाङ्गयोगः	Ashtanga vinyasa yoga
काङ्ग्रामण्डलम्	Kangra (district)
बिम्बफलम्	Tindola
ऋग्वेदः	Rig-Veda
गङ्गूबायी हानगल्	Gangubai Hangal
देवरियामण्डलम्	Deoria (district)
केदैञै	Kėdainiai
केदारनाथः	Kedarnath
प्राचीनज्योतिषम्	Vedische astrologie
जीन् फ्रान्स्व फर्नेल्	Jean François Fernel
फलकम्:Cite book	Bronvermelding in Harvardstijl
इन्दौरमण्डलम्	Indore (district)
अश्वारोहक्रीडा	Buzkashi
कटनीमण्डलम्	Katni (district)
पुष्करनगरम्	Pushkar
भारतस्य सूर्यमन्दिराणि	Konark
मामितमण्डलम्	Mamit (district)
कोणार्कमन्दिरम्	Zonnetempel van Konarak
बाङ्गलालिपिः	Bengaals alfabet
भद्राचलम्	Bhadrachalam
भीलवाडा	Bhilwara (stad)
भाल्की	Bhalki
हावेरीमण्डलम्	Haveri (district)
उत्तरपश्चिमदेहलीमण्डलम्	Noordwest-Delhi
अलिगढमण्डलम्	Aligarh (district)
सिन्धुदुर्गमण्डलम्	Sindhudurg (district)
नैनिताल	Nainital (stad)
गंजम् मण्डलम्	Ganjam (district)
रमोन् मैग्सेसे-पुरस्कारः	Ramon Magsaysay Award
बीकानेरमण्डलम्	Bikaner (district)
स्केटिङ्ग्	Schaatsen
नहान्	Nahan
वार्तकीरसः	Tomatensap
अझमगढमण्डलम्	Azamgarh (district)
बि एम् डब्ल्यू सिक्स् सीरीज्	BMW 6-serie
बिजनौर	Bijnor (stad)
बि एम् डब्ल्यू (i8)	BMW i8
उष्ट्रासनम्	Ustrasana
चक्रासनम्	Chakrasana
बाबरः	Babur
सरस्‍वती नदी	Ghaggar-Hakra
बदांयू	Budaun (stad)
बहुजनसमाज-पक्षः	Bahujan Samajpartij
बालंगिर् मण्डलम्	Bolangir (district)
बेङ्गळूरुग्रामान्तरमण्डलम्	Bangalore Rural
बांसवाडामण्डलम्	Banswara (district)
बर्धमानमण्डलम्	Bardhaman (district)
बारागर् मण्डलम्	Bargarh (district)
बीडमण्डलम्	Beed (district)
बेळगावीमण्डलम्	Belgaum (district)
अतिथिसत्कारः	Gastvrijheid
संस्कृतसाहित्यशास्त्रम्	Poëtica
तिरुपुर	Tirupur
लाहौल्-स्पितीमण्डलम्	Lahul and Spiti
भारतीय भूगोलः	Geografie van India
प्राणायामः	Pranayama
कथाकेळिः	Kathakali
स्मृतयः	Smriti
माध्यमिकाः	Madhyamaka
कुन्ती	Kunti
द्वितीयः चन्द्रगुप्तः	Chandragupta II
योगाचाराः	Yogacara
मीमांसा	Mimamsa
महाशिवरात्रिः	Mahashivaratri
चन्द्रगुप्तः	Chandragupta I
खण्डशर्करा	Kandij
भरतपुरमण्डलम्	Bharatpur (district)
भरुचमण्डलम्	Bharuch (district)
भावनगरमण्डलम्	Bhavnagar (district)
राष्ट्रकूटवंशः	Rashtrakutadynastie
बोम्मनहळ्ळीविधानसभाक्षेत्रम्	Bommanahalli
बृहत्संहिता	Varahamihira
चम्पावत	Champawat (stad)
चन्द्रपुरम्	Chandrapur (stad)
बुलन्दशहर	Bulandshahr (stad)
चम्पाय	Champhai (stad)
चामराजनगरमण्डलम्	Chamarajanagar (district)
हलासनम्	Halasana
धनुरासनम्	Dhanurasana
भुजङ्गासनम्	Bhujangasana
पश्चिमोत्तानासनम्	Paschimottanasana
राजगिर	Rajgir
दीमापुर्	Dimapur (stad)
चैतन्‍य महाप्रभु	Chaitanya
शिल्पकला	Ambachtelijk
इटावा	Etawah (stad)
उज्जैनमण्डलम्	Ujjain (district)
ब्रह्मसूत्राणि	Brahma Sutras
ब्रह्मचर्यम्	Brahmacharya
जनतादलम्(संयुक्तम्)	Janata Dal (United)
शूद्रः	Shudra
सर्षपतैलम्	Mosterdolie
विकिपीडिया:साहाय्यम्	Portaal:Hulp en beheer
टोङ्कमण्डलम्	Tonk (district)
लक्ष्मणः	Lakshmana
सीतापुरम्	Sitapur (stad)
द हिन्दू	The Hindu
वासकसस्यम्	Malabarnoot
अलप्पुळामण्डलम्	Alappuzha (district)
गणेशचतुर्थी	Ganesh Chaturthi
गुनामण्डलम्	Guna (district)
पलाशवृक्षः	Butea monosperma
ठाणेमण्डलम्	Thane (district)
अगस्त्यवृक्षः	Sesbania grandiflora
पर्यावरणशिक्षा	Natuur- en milieueducatie
तुङ्गभद्रा	Tungabhadra
पद्मश्री-पुरस्कारः	Padma Shri
दक्षिणकन्नडमण्डलम्	Dakshina Kannada
कोप्पळ	Koppal (district)
हासनमण्डलम्	Hassan (district)
कर्णाटकसङ्गीतम्	Carnatische muziek
वेणुः (वाद्यम्)	Bansuri
जगत्सिंगपुर् मण्डलम्	Jagatsinghpur (district)
वातामक्षीरम्	Amandelmelk
वर्धामण्डलम्	Wardha (district)
एम् एस् स्वामिनाथन्	Monkombu Swaminathan
युधिष्ठिरः	Yudhishtira
पाण्डीचेरीमण्डलम्	Puducherry (district)
कोटामण्डलम्	Kota (district)
रायबरेली	Rae Bareli (stad)
गाझिपुरम्	Ghazipur (stad)
सुल्तानपुरम्, उत्तरप्रदेशः	Sultanpur (Uttar Pradesh)
फतेहगढ	Fatehgarh (kantonnement)
देवरिया, उत्तरप्रदेशः	Deoria (stad)
ललितपुरम्	Lalitpur (India)
एरणाकुलम्-मण्डलम्	Ernakulam (stadsdeel)
जौनपुरम्, उत्तरप्रदेशः	Jaunpur (stad)
महाराजागञ्ज, उत्तरप्रदेशः	Maharajganj (hoofdstad)
श्रवणबेळगोळ	Sravanabelagola
ताळीकोटे	Talikota
प्रतापगढ, उत्तरप्रदेशः	Pratapgarh City
उदरम्	Maag
द्रौपदी	Draupadi
चम्बामण्डलम्	Chamba (district)
कच्छमण्डलम्	Kutch
पुट्टपर्ती	Puttaparthi
समाधिपादः	Yogasoetra's
सौराष्ट्रम्	Saurashtra
चित्तौडगढमण्डलम्	Chittorgarh (district)
चुरूमण्डलम्	Churu (district)
ओङ्कारेश्वरः	Omkareshwar
आषाढमासः	Aashaadha
चिक्कोडी	Chikodi
चिकल्धारा	Chikhaldara
कोलासिब	Kolasib (stad)
कामः	Kama (filosofie)
समुद्रगुप्तः	Samudragupta
दार्जिलिङ्गमण्डलम्	Darjeeling (district)
जयपुरमण्डलम्	Jaipur (district)
सातारामण्डलम्	Satara (district)
डाङ्गमण्डलम्	Dang (India)
सूर्यनमस्काराः	Zonnegroet
कामेट् (शिखरम्)	Kamet
नदियामण्डलम्	Nadia (district)
मिर्जापुरमण्डलम्	Mirzapur (district)
गोरखपुरमण्डलम्	Gorakhpur (district)
गोल्कोण्डदुर्गम्	Sultanaat Golkonda
पर्वतारोहणक्रीडा	Rotsklimmen
दमन	Daman (district)
दौसामण्डलम्	Dausa (district)
हिन्दुधर्मस्य इतिहासः	Geschiedenis van het hindoeïsme
पीलीभीत्	Pilibhit (stad)
