ཨ་ཧྥེ་རི་ཁ།	Afrika
བྱ་རྒོད།	Arend (roofvogel)
སི་པི་རིང་ཧྥིལ་ཌི། (ཧྥོ་ལོ་རི་ཌ།)	Springfield (Florida)
སྨྱུག་རྩ།	Bamboescheut
ཡིག་སྐྱེལ་བ།	Postbode
ཁྲི་ལྡེ་གཙུག་བརྟན།	Tridé Tsungtsen
གནམ་རི་སྲོང་བཙན།	Namri Songtsen
རྣམ་རྒྱལ་དགོན།	Namgyal
རྡོ་རྗེ་ཆང་།	Vajradhara
ཁྲི་རལ་པ་ཅན།	Tri Ralpachen
མཚོ་རྫོང་དགོན།	Tsozong Gongba
མུ་ནེ་བཙན་པོ།	Muné Tsenpo
ཐུའུ་བཀྭན་བློ་བཟང་ཆོས་ཀྱི་ཉི་མ།	Thuken Lobzang Chokyi Nyima
ཏིན་ཏིན་བོད་ལ་ཕྱིན་པ།	Kuifje in Tibet
སྟར་ཤིང་།	Juglans
ཁྲི་གཉན་གཟུངས་བཙན།	Trinyen Songtsen
བོད་ཀྱི་སྒྱུ་རྩལ།	Tibetaanse kunst
ཆང་ཆེ་སི།	Tchantchès (personage)
ལྷ་བབས་དུས་ཆེན་	Lhabab Düchen
གཡང་ཆེན་ལྷ་མོ།	Yungchen Lhamo
ཐོའུ་ཅ།	Tujia (taal)
མང་སྲོང་མང་བཙན།	Mansong Mangtsen
ལེ་ཤར་ལོ།	Les Charlots
འཇམ་དབྱངས་སྐྱིད།	Jamyang Kyi
འདུས་སྲོང་མང་པོ་རྗེ།	Tridu Songtsen
སྐར་མ་རི་ཥིའི་སྐོར།	Gouden Ster-festival
སངས་རྒྱས་ཀྱི་མཚན་གཤམ་གསལ།	Lijst van Bodhisattva's
ཆང་	Chaang
མངར་ཟས་བཅུ་གསུམ།	Treize desserts
གོ་སྙོད་ཟུར་བརྒྱད།	Steranijs
Category:ཆ་མི་ཚང་བ	Categorie:Wikipedia:Beginnetje
Category:ལྦེ་ཁེ་རིག་མཛོད།	Categorie:Wikipedia:Beheer
Category:རིག་གནས།	Categorie:Cultuur
བོད་ཀྱི་རིག་གནས།	Tibetaanse cultuur
ཨེ་རིག་ཐའི་ཆ་མཱན།	Eric Teichman
ཅིང་མི།	Gin (volk)
མེའི་ཇིའི་དུས་དུས་མཚམས།	Meijiperiode
ཕྲེང་བ།	Gebedssnoer
ཡར་ཀླུངས་གཙང་པོ་	Yarlung Tsangpo
སྨུག་པོའི།	Paars
Template:User uk-2	Sjabloon:Gebruiker uk-2
ཁབ་ལེན་	Magnetisme
སླི་ཁེ་རི་ནི་ཞི་ཡ།	Micronesië
པ་ཏྲ།	Srivatsa
Category:ཕའི་ཆིའུ་སྤོ་ལོ།	Categorie:Volleybal
ཉུང་མ།	Knolraap
Category:འཁྲབ་སྟོན་པ།	Categorie:Acteur
Template:Tl	Sjabloon:Tl
Category:ཁྲིམས་ལུགས།	Categorie:Recht
Category:རྒྱལ་ཁབ།	Categorie:Land
Category:དཔལ་འབྱོར་རིག་པ།	Categorie:Economie
Wikipedia:Administrators	Wikipedia:Moderator
Category:ཀཛ་ཀིསུ་གཏན།	Categorie:Kazachstan
Wikipedia:བཀོད་འདོམས་པར་རེ་ཞུ	Wikipedia:Aanmelding moderatoren
Category:ལས་རིགས།	Categorie:Beroep
Category:དུས་ཚོད།	Categorie:Tijd
Category:དངུལ་ལོར།	Categorie:Geld
Category:རྩི་ཤིང་རིག་པ།	Categorie:Plantkunde
Category:གཤག་བཅོས་རིག་པ།	Categorie:Anatomie
Category:སྨན།	Categorie:Geneeskunde
Category:ཆབ་སྲིད།	Categorie:Politiek
Category:སློབ་གསོ།	Categorie:Onderwijs
Category:སྒྱུ་རྩལ།	Categorie:Kunst
ཨའི་ཅི།	Egypte (land)
ཧེ་ཟི་རོན།	Chesron
Category:མཚན་ཉིད་རིག་པ་བ།	Categorie:Filosoof
Template:Bot	Sjabloon:Bot
ཁ་ན་ཌ།	Canada
Category:ཧུང་གྷ་རི།	Categorie:Hongarije
Category:པེར་ཅིན།	Categorie:België
Category:སེ་པི་རི་སི།	Categorie:Cyprus
Category:ཅེཀ་སྤྱི་མཐུན་རྒྱལ་ཁབ།	Categorie:Tsjechië
Category:དན་མྲག	Categorie:Denemarken
Category:ཨིསུ་ཊོ་ནིཡ།	Categorie:Estland
Category:ཀེ་རི་སི།	Categorie:Griekenland
Category:ལ་ཊ་ཝིཡ།	Categorie:Letland
Category:ཨཡིསུ་ལེན་ཌ།	Categorie:IJsland
Category:ལུ་སེམ་བའུརག (རྒྱལ་ཁབ།)	Categorie:Luxemburg (land)
Category:ལི་ཐུ་ཨེ་ནི་ཡ།	Categorie:Litouwen
Category:མལ་ཏ།	Categorie:Malta
Category:སི་ཝེ་དེན	Categorie:Zweden
Category:སི་ལོ་ཕ་ཁེ།	Categorie:Slowakije
Category:སི་ལོ་ཝེ་ནི་ཡ།	Categorie:Slovenië
Category:ཨར་ལེན་ཌ།	Categorie:Ierland
Wikipedia:Copyrights	Wikipedia:Auteursrechten
Category:རོལ་རྩེད།	Categorie:Spel
Template:Flagicon	Sjabloon:Vlagland
Category:ཡོ་རོབ་གླིང་གི་རྒྱལ་ཁབ།	Categorie:Land in Europa
Category:ཡོ་རོབ་གླིང་།	Categorie:Europa
Template:Documentation	Sjabloon:Sjabdoc
Category:ལྦེ་ཁེ་བ།	Categorie:Wikipedia:Gebruikers
འབྲོང་གཉན་ལྡེ་རུ།	Drongnyen Deru
ཚོང་ལས།	Bedrijf
Template:Softredirect	Sjabloon:Softredirect
Template:གསུབ་པ	Sjabloon:Nuweg
Category:སྐད་རིགས།	Categorie:Taal
Category:བརྡ་སྤྲོད་ཀྱི་གཞུང་།	Categorie:Grammatica
Category:ལོ་ཐོ།	Categorie:Kalender
Wikipedia:General disclaimer	Wikipedia:Vrijwaringsclausule
Category:Pages with broken file links	Categorie:Wikipedia:Pagina's met onjuiste bestandsverwijzingen
Wikipedia:སྒྲོམ་གཞི།	Wikipedia:Sjablonen voor artikelboodschappen
དམག་མི།	Soldaat
Template:Navbox	Sjabloon:Navigatie
དྲང་པོ།	Rechtvaardigheid
Template:Clear	Sjabloon:Clearboth
Template:Nowrap	Sjabloon:Nowrap
རྩི་ཤིང་རིགས་ཤིག	Blauwe bosbes
Wikipedia:སྐད་རིགས་ཆ་ཚང་ཡོད་པའི་རྩོམ་ཡིག་ཟིན་ཐོ།	Wikipedia:Archief/Wikipedia:Artikelen die elke Wikipedia zou moeten hebben
Category:ཨ་ཧྥེ་རི་ཁ་གླིང་།	Categorie:Afrika
Category:གྲངས་ཀ།	Categorie:Getal
Category:གྲོང་ཚོ།	Categorie:Dorp
Category:གསུང་རབ།	Categorie:Bijbel
Category:དེབ།	Categorie:Boek
Template:བྷི་པེལ།	Sjabloon:Babel
Template:Commons	Sjabloon:Commons
Template:Reflist	Sjabloon:References
Template:ཆ་མི་ཚང་བ	Sjabloon:Beginnetje
Template:User eo-1	Sjabloon:Gebruiker eo-1
Template:User bg-1	Sjabloon:Gebruiker bg-1
Template:User eo-3	Sjabloon:Gebruiker eo-3
Template:User de	Sjabloon:Gebruiker de
Template:User de-1	Sjabloon:Gebruiker de-1
Template:User es	Sjabloon:Gebruiker es
Template:User de-3	Sjabloon:Gebruiker de-3
Template:User en-3	Sjabloon:Gebruiker en-3
Template:User en-1	Sjabloon:Gebruiker en-1
Template:User en-2	Sjabloon:Gebruiker en-2
Template:User eo-2	Sjabloon:Gebruiker eo-2
Template:User en-4	Sjabloon:Gebruiker en-4
Template:User en	Sjabloon:Gebruiker en
Template:User de-2	Sjabloon:Gebruiker de-2
Template:User he-2	Sjabloon:Gebruiker he-2
Template:User it-3	Sjabloon:Gebruiker it-3
Template:User ja-4	Sjabloon:Gebruiker ja-4
Template:User ja	Sjabloon:Gebruiker ja
Template:User ja-1	Sjabloon:Gebruiker ja-1
Template:User it-1	Sjabloon:Gebruiker it-1
Template:User hr-1	Sjabloon:Gebruiker hr-1
Template:User fr	Sjabloon:Gebruiker fr
Template:Unsigned	Sjabloon:Afzender
Category:སྲིན་འབུ།	Categorie:Insect
Category:མོལ་དོ་ཝ།	Categorie:Moldavië
Category:ཨ་ཛར་བཡི་ཇན།	Categorie:Azerbeidzjan
Category:ཡ་ཀྲོའུ་གླིང་	Categorie:Azië
Category:ཅི་ལི།	Categorie:Chili
Category:ལི་སོ་ཐོ།	Categorie:Lesotho
Category:User uk	Categorie:Wikipedia:Gebruiker uk
Category:User uk-N	Categorie:Wikipedia:Gebruiker uk-M
Category:མ་ལ་ཤི་ཡ།	Categorie:Maleisië
Template:Mod	Sjabloon:Modulo
Template:User uk	Sjabloon:Gebruiker uk
Template:དགའ་བསུ་ཞུ	Sjabloon:Hola
Category:ཟླ་བ།	Categorie:Maan
Category:སྐད་བརྡ་རིག་པ།	Categorie:Taalkunde
Template:ཨ་ཧྥེ་རི་ཁ་གླིང་།	Sjabloon:Navigatie landen Afrika
Category:རིགས་དགར་མེད་པའི་རྩོམ་ཡིག་དག	Categorie:Wikipedia:Nog te categoriseren
Category:ཀ་ན།	Categorie:Ghana
Category:ཕ་རི།	Categorie:Parijs
Category:User en-4	Categorie:Wikipedia:Gebruiker en-4
Category:ཊོ་གོ	Categorie:Togo
Category:User en	Categorie:Wikipedia:Gebruiker en
Category:ཁུརོ་ཤི་ཡ།	Categorie:Kroatië
Category:User zh-N	Categorie:Wikipedia:Gebruiker zh-M
Category:User en-2	Categorie:Wikipedia:Gebruiker en-2
Template:User eo	Sjabloon:Gebruiker eo
Template:User zh	Sjabloon:Gebruiker zh
Category:མིང་།	Categorie:Naam
Category:ཟས་ཀྱི་རིག་པ།	Categorie:Voeding
Template:Wikispecies	Sjabloon:Wikispecies
Template:User nl-2	Sjabloon:Gebruiker nl-2
Category:སོ་ནམ།	Categorie:Landbouw
Category:ཙུང་ཐུང་ གཙོ་འཛིན།	Categorie:President
Template:User ru	Sjabloon:Gebruiker ru
Category:ཨ་མེ་རི་ཀ	Categorie:Amerika
Category:ནོའོ་བྷེལ་བྱ་དགའ་རགས་མཁན།	Categorie:Winnaar van de Nobelprijs voor de Vrede
Category:Language user templates	Categorie:Wikipedia:Sjablonen babel
Category:ཚད་འཇལ་བྱེད་ཀྱི་སྡེ་ཚན།	Categorie:Eenheid
Template:User eo-4	Sjabloon:Gebruiker eo-4
Category:རྩོམ་པ་པོ།	Categorie:Schrijver
Category:དམག་དོན།	Categorie:Krijgswezen
Category:སློབ་གྲྭ་ཆེན་མོ།	Categorie:Universiteit
Template:User pl	Sjabloon:Gebruiker pl
Template:རིགས་དགར་མེད་པ	Sjabloon:Nocat
Category:རི་མོ།	Categorie:Schilderkunst
Template:Purge	Sjabloon:Purge
Category:འདུ་ཤེས།	Categorie:Gemoedstoestand
རམས་ཚོས།	Indigo (kleur)
Template:User pl-1	Sjabloon:Gebruiker pl-1
Category:ཏུ་ནི་ཤི་ཡ།	Categorie:Tunesië
Template:User lt	Sjabloon:Gebruiker lt
Category:ལག་ཆ།	Categorie:Apparatuur
Category:མར་ཁེ་སེ་རིང་ལུགས།	Categorie:Marxisme
Template:User en-5	Sjabloon:Gebruiker en-5
Category:User ja-N	Categorie:Wikipedia:Gebruiker ja-M
Category:སྤེན་པ།	Categorie:Saturnus
Category:ལྷག་པ།	Categorie:Mercurius
Category:ཤ་རི་ཡ།	Categorie:Islamitisch recht
Category:ཇ།	Categorie:Thee
Category:རྩ།	Categorie:Poaceae
Category:ཁེ་ར་བི་ཧན།	Categorie:Caraïben
Category:སུ་ཝ་ཛི་ལནཌ།	Categorie:Swaziland
Category:འོད་པར་རྒྱབ་ཐབས།	Categorie:Fotografie
Category:ཚགས་པར།	Categorie:Krant
Category:མངར་ཟས།	Categorie:Nagerecht
Category:དཔྱིད།	Categorie:Lente
Template:གསལ་བྱེད།	Sjabloon:Navigatie medeklinkers
Category:ཁང་རྩིག་བཟོ་རིག	Categorie:Architectuur
Category:མེ་འཁོར།	Categorie:Spoorweg
Category:འཇར་མན་གྱི་སྒྱུ་རྩལ།	Categorie:Kunst in Duitsland
Category:ཁྲོམ་ལམ།	Categorie:Straat
Category:གི་རི་ན་ཌ། (རྒྱལ་ཁབ།)	Categorie:Grenada
Template:User fr-4	Sjabloon:Gebruiker fr-4
Template:User bo-1	Sjabloon:Gebruiker bo-1
Category:མ་སེ་ཌོ་ནིཡ། (རྒྱལ་ཁབ།)	Categorie:Macedonië (land)
Category:User la	Categorie:Wikipedia:Gebruiker la
Category:User lt	Categorie:Wikipedia:Gebruiker lt
Category:User fr-4	Categorie:Wikipedia:Gebruiker fr-4
Category:User fr-N	Categorie:Wikipedia:Gebruiker fr-M
Category:User lt-N	Categorie:Wikipedia:Gebruiker lt-M
Category:User ru-N	Categorie:Wikipedia:Gebruiker ru-M
Category:ཚོང་ལས།	Categorie:Bedrijfsleven
Category:ཏོའོ་ཅོའོ་ཆོས་ལུགས།	Categorie:Taoïsme
Category:User bo	Categorie:Wikipedia:Gebruiker bo
Category:User bo-1	Categorie:Wikipedia:Gebruiker bo-1
Category:User de	Categorie:Wikipedia:Gebruiker de
Category:User en-3	Categorie:Wikipedia:Gebruiker en-3
Category:User en-N	Categorie:Wikipedia:Gebruiker en-M
Category:སའོ་ཊོ་མེ་དང་པི་རིན་སི་པ།	Categorie:Sao Tomé en Principe
Category:དགེ་སྒྲུབ།	Categorie:Hulporganisatie
Category:ཀན་སུ།	Categorie:Gansu
Category:ཀྲུང་གོའི་རི་མོ་མཁས་ཅན།	Categorie:Chinees kunstschilder
Category:ཨའི་ཆི་ཞེས་པའི་སྲིད་འཛིན་ས་ཁུལ།	Categorie:Prefectuur Aichi
Category:རྒྱལ་ཁབ་གྱི་ཆབ་སྲིད།	Categorie:Politiek naar land
Category:དབྱིབས་རྩིས་རིག་པ།	Categorie:Meetkunde
Category:གཞས་རིག་པ།	Categorie:Musicologie
Category:User ja-1	Categorie:Wikipedia:Gebruiker ja-1
Category:མེ་རི།	Categorie:Vulkaan
Category:བོད་ཀྱི་བཙན།	Categorie:Yarlung-dynastie
Category:User ru-1	Categorie:Wikipedia:Gebruiker ru-1
Category:སྙན་ངག་མཁན།	Categorie:Dichter
Category:ས་མུ་རའི།	Categorie:Samoerai
Template:ཀེ་རི་སིའི་དབྱངས་གསལ་རེའུ་མིག	Sjabloon:Zijbalk Grieks alfabet
Category:མའི་ཀོ་རོ་ནེ་ཤི་ཡ། (རྒྱལ་ཁབ།)	Categorie:Micronesia
ཧྲང་ཨན།	Chang'an (stad)
Category:རྒྱལ་སྤྱིའི་འཁྲབ་སྟོན་པ།	Categorie:Acteur naar nationaliteit
Category:ཉི་མའི་ཁྱིམ་རྒྱུད།	Categorie:Zonnestelsel
Category:ཧོ་ཁའི་དོ།	Categorie:Hokkaido
Category:ཀོང་ཏུང་ཞིང་ཆེན།	Categorie:Guangdong
Category:ཧྲའན་ཞི།	Categorie:Shaanxi
Category:ཨན་ཧུའེ་ཞིང་ཆེན།	Categorie:Anhui
Category:ཅི་ལིན།	Categorie:Jilin
Category:ཧྥུའུ་ཅན།	Categorie:Fujian
Category:ཧའེ་ནན།	Categorie:Hainan
Category:ཌོ་མི་ནི་ཀན་སྤྱི་མཐུན་རྒྱལ་ཁབ།	Categorie:Dominicaanse Republiek
Category:ཆུ།	Categorie:Water
Category:བཏུང་བྱའི་སྐོར།	Categorie:Drank
Category:རྒྱལ་ཁབ་གྱི་དབུ་འཛིན།	Categorie:President naar land
ལུང་སྟོན་པ་ཤ་མུ་ཨེལ།	Samuel (profeet)
Category:བྷེ་ལ་རསུ།	Categorie:Wit-Rusland
Category:ཨ་ཧྥེ་རི་ཁའི་གླིང་གི་རྒྱལ་ཁབ།	Categorie:Land in Afrika
Category:ཧྥ་ཤི་སིའི་རིང་ལུགས།	Categorie:Fascisme
Category:བྲན་གཡོག་རིང་ལུགས།	Categorie:Slavernij
Template:User ru-2	Sjabloon:Gebruiker ru-2
Template:User es-3	Sjabloon:Gebruiker es-3
Category:མིག་དམར།	Categorie:Mars
Category:པལ་ཊིམ་གྱི་ཟུར་ཟའི་མུ་འབྲེལ་རི་མོ།	Categorie:Belgische stripreeks
Category:User ru	Categorie:Wikipedia:Gebruiker ru
Category:User ru-2	Categorie:Wikipedia:Gebruiker ru-2
Category:User ru-3	Categorie:Wikipedia:Gebruiker ru-3
Category:User uk-2	Categorie:Wikipedia:Gebruiker uk-2
Category:ཧྲན་ཏུང་།	Categorie:Shandong
Category:ཀྲེ་ཅང་།	Categorie:Zhejiang
Category:མཚོ་སྔོན་ཞིང་ཆེན།	Categorie:Qinghai
Category:ཧའོ་ནན།	Categorie:Henan
Category:ཧུའུ་ནན།	Categorie:Hunan
Category:དགོན་པ།	Categorie:Klooster
Category:ཤིང་།	Categorie:Boom (plant)
Category:སྤྱི་ཚོགས་རིག་པ།	Categorie:Sociologie
Category:སྤྲིན།	Categorie:Wolk
Category:ཨོ་ཝེར་ཉེ།	Categorie:Auvergne
Category:མི་དི་ཕི་རེ་ནེ།	Categorie:Midi-Pyreneeën
Category:ཕོ་རོའོ་ཝང་སི་ཝལ་ཕེས་ཁོ་ཏེ་ད་ཟུར།	Categorie:Provence-Alpes-Côte d'Azur
Category:ནང་པ་སངས་རྒྱངས་ཀྱི་ལྷ།	Categorie:Heilige in het boeddhisme
Category:མེག་སི་ཀོ་གསར་མ།	Categorie:New Mexico
Category:མི་ཅི་གྷན།	Categorie:Michigan
Category:ཡོ་བ།	Categorie:Iowa
Category:ཨིན་ཌི་ཡཱ་ན།	Categorie:Indiana
Category:ཁོ་ལོ་ར་ཌོ།	Categorie:Colorado
Category:ཨ་པོའུ་དྷ་པེ།	Categorie:Abu Dhabi
Category:འཛམ་གླིང་འཁྲུག་ཆེན་དང་པོ།	Categorie:Eerste Wereldoorlog
Category:ཨོའོ་སི་ཁྲོ་རི་ཡའི་རྩོམ་པ་པོ།	Categorie:Oostenrijks schrijver
Category:དབྱི་རག་གི་རྩོམ་པ་པོ།	Categorie:Iers schrijver
Category:དབྱི་ཐ་ལི་ཡི་རྩོམ་པ་པོ།	Categorie:Italiaans schrijver
Category:ཨང་གོ་ལ།	Categorie:Angola
Category:བེ་ནིན།	Categorie:Benin
Category:བྷོ་ཙི་ཝ་ན།	Categorie:Botswana
Category:བུར་ཀི་ན་ཕ་སོ།	Categorie:Burkina Faso
Category:བུ་རུན་ཌི།	Categorie:Burundi
Category:ཇི་བའོ་ཊི།	Categorie:Djibouti
Category:ཀོ་ཊི་ཌི་ཨའི་བོ་རི།	Categorie:Ivoorkust
Category:ཨི་ཁུའ་ཊོ་རལ་གི་ནེ།	Categorie:Equatoriaal-Guinea
Category:ཨི་རི་ཏྲའ།	Categorie:Eritrea
Category:གེ་བོན།	Categorie:Gabon
Category:གེམ་བྷི་ཡ།	Categorie:Gambia
Category:གི་ནེ།	Categorie:Guinee
Category:གི་ནེ་-བི་སའོ།	Categorie:Guinee-Bissau
Category:ཁམ་མུ་རོན།	Categorie:Kameroen
Category:ཁེབ་ཝར་ཌི།	Categorie:Kaapverdië
Category:ཁེ་ནི་ཡ།	Categorie:Kenia
Category:ཁོ་མོ་རོ་སུ།	Categorie:Comoren
Category:ལི་བེ་རི་ཡ།	Categorie:Liberia
Category:མ་ད་གཱ་སི་ཀར།	Categorie:Madagaskar
Category:མ་ལ་ཝི།	Categorie:Malawi
Category:མ་ལི།	Categorie:Mali
Category:མའེ་ལོ་ཀོ།	Categorie:Marokko
Category:མའུ་རི་ཏ་ནི་ཡ།	Categorie:Mauritanië
Category:མའུ་རི་ཊིའུ་སུ།	Categorie:Mauritius
Category:མོ་ཛམ་བིཀ།	Categorie:Mozambique
Category:ན་མི་བྷི་ཡ།	Categorie:Namibië
Category:ནི་ཇར།	Categorie:Niger
Category:ཀོང་གོ་སྤྱི་མཐུན་རྒྱལ་ཁབ།	Categorie:Congo-Brazzaville
Category:རུ་ཝན་ཌ།	Categorie:Rwanda
Category:ཕོ་ལན་གྱི་སྒྱུ་རྩལ།	Categorie:Kunst in Polen
Category:དྷོ་ཧ།	Categorie:Doha
Template:Merge	Sjabloon:Samenvoegen
Category:ནང་པ་སངས་རྒྱས།	Categorie:Boeddhist
Template:User ca-3	Sjabloon:Gebruiker ca-3
Template:User cs-3	Sjabloon:Gebruiker cs-3
Category:གཙང་པོ།	Categorie:Rivier
Template:User la-2	Sjabloon:Gebruiker la-2
Template:User ru-1	Sjabloon:Gebruiker ru-1
Template:User sk-2	Sjabloon:Gebruiker sk-2
Template:User zh-1	Sjabloon:Gebruiker zh-1
Template:User zh-4	Sjabloon:Gebruiker zh-4
Category:ཛམ་བི་ཡ།	Categorie:Zambia
Category:སི་ནི་གཱལ།	Categorie:Senegal
Category:ཧྥ་རན་སིའི་སྲིད་དོན།	Categorie:Politiek in Frankrijk
Category:སེ་ཆེ་ལེ་སུ།	Categorie:Seychellen
Category:སི་ར་ལེ་ཨོན།	Categorie:Sierra Leone
Category:ཛིམ་བབ་ཝི།	Categorie:Zimbabwe
Category:ཁབ་ལེན།	Categorie:Magnetisme
Category:སོ་མ་ལི།	Categorie:Somalië
Category:ཆཱ་ཌ།	Categorie:Tsjaad
Category:ཨུ་གན་ད།	Categorie:Oeganda
Category:དབུས་ཨ་ཧྥེ་རི་ཁན་རི་པཔ་ལིཀ།	Categorie:Centraal-Afrikaanse Republiek
Category:གླུ་གཞས་ཟློས་གར།	Categorie:Opera
Category:ཀྲུང་གོའི་རང་སྐྱོང་ལྗོངས།	Categorie:Regio van China
Category:གཞས་གཏོང་བ།	Categorie:Zang
Category:བོད་མི།	Categorie:Tibetaans persoon
Category:ཟློས་གར།	Categorie:Theater
Category:མི་རིགས་ཀྱི་གཞས་གཏོང་མཁན།	Categorie:Zanger naar nationaliteit
Category:ཧྥི་ལི་པིན​།	Categorie:Filipijnen
Category:ཧྥ་རན་སིའི་གཞས་པ་གཞས་མ།	Categorie:Frans zanger
Category:དབྱིན་ཇིའི་ཕྱི་འབྲེལ་མཁས་ཅན།	Categorie:Brits diplomaat
Category:ཤོག་བུ།	Categorie:Papier
Category:ཨར་མེ་ནི་ཡ།	Categorie:Armenië
Category:བྷཧ་རཡིན།	Categorie:Bahrein
Category:འབྲུག་ཡུལ།	Categorie:Bhutan
Category:ཨ་མི་རི་ཁའི་སྙན་ངག	Categorie:Amerikaans dichter
Category:རང་ཤི་རྒྱབ་པ།	Categorie:Zelfmoord
Category:ཨོའོ་སི་ཁྲོ་རི་ཡའི་རི་འཛེགས་པ།	Categorie:Oostenrijks klimmer
Category:སི་རི་ཡ།	Categorie:Syrië
Category:དབྱི་ཐ་ལི་ཡི་སྙན་ངག་མཁས་ཅན།	Categorie:Italiaans dichter
Category:དྲ་ཕས་སྤོ་ལོ།	Categorie:Basketbal
Category:མེག་སི་ཀོ་ཡི་རི་མོ་མཁས་ཅན།	Categorie:Mexicaans kunstschilder
Category:ཡེ་ཤུའི་འཁྲུངས་སྐར།	Categorie:Kerst
Category:མི་རིགས་རིང་ལུགས།	Categorie:Nationalisme
Category:ཤི་བ།	Categorie:Dood
Category:དབུལ་ཕོངས།	Categorie:Armoede
Category:ལོག་གཡེམ་མམ་ཉེས་སྤྱོད།	Categorie:Geweld
Category:ལྗོར་མན་གྱི་ལོ་རྒྱུས་མཁས་ཅན།	Categorie:Duits historicus
Category:ཧྥ་རན་སི་ཡི་ལོ་རྒྱུས་མཁས་ཅན།	Categorie:Frans historicus
Category:ཁ་ར་ཏེ།	Categorie:Karate
Category:སྒྱུ་རྩལ་གྱི་འགྲེམས་སྟོན།	Categorie:Kunstevenement
Category:པ་ཊ་ནི་ཞིང་ཆེན།	Categorie:Changwat Pattani
Category:ལམ་པང་ཞིང་ཆེན།	Categorie:Lampang (changwat)
Category:སོང་ཁ་ལ་ཞིང་ཆེན།	Categorie:Changwat Songkhla
Category:ཨ་ལི་ཡེ།	Categorie:Allier
Category:ཨ་ཝེ་རོང་།	Categorie:Aveyron
Category:ཆེང་རཱེ་ཞིང་ཆེན།	Categorie:Chiang Rai (changwat)
Category:ཝོ་ཁ་ལུ་ཟེ།	Categorie:Vaucluse
Category:ཧྥ་རན་སིའི་སྲིད་དོན་ལས་མཁན།	Categorie:Frans politicus
Category:མཚོ་འགག	Categorie:Zeestraat
Category:དབྱིན་ཇིའི་འཁྲབ་སྟོན་པ།	Categorie:Engels acteur
Category:སྐར་མ་གནམ་རྒྱལ།	Categorie:Uranus
Category:ཕུར་བུ།	Categorie:Jupiter
ཀོང་ཏུང་སྐད།	Kantonees
Category:སྐར་མ་མཚོ་རྒྱལ།	Categorie:Neptunus
Category:ཧིན་རྡུ་དང་ཡོ་རོབ་ཀྱི་སྐད།	Categorie:Indo-Europese taalfamilie
Category:ཉི་ཧུང་གི་རི་མོ་མཁས།	Categorie:Japans kunstschilder
Category:འབྲུ་རིགས་སྐོར།	Categorie:Graan
Category:ཀྲུང་གོའི་གཞས་པ་དང་གཞས་མ།	Categorie:Chinees zanger
Category:ཧྥ་རན་སིའི་བཀའ་བློན་འགོ་གཙོ།	Categorie:Premier van Frankrijk
Category:བྱང་ཀོ་རི་ཡ།	Categorie:Noord-Korea
Category:ཇིཨོར་ཇི་ཡ། (རྒྱལ་ཁབ།)	Categorie:Georgië
Category:ཁམ་པོ་ཛ།	Categorie:Cambodja
Category:རྒྱ་མི།	Categorie:Chinees persoon
Category:ཨ་མེ་རི་ཁའི་གཞས་གཏོང་མཁན།	Categorie:Amerikaans zanger
Category:ཝ་ནུའ་ཏུ།	Categorie:Vanuatu
Category:གསར་འགོད།	Categorie:Journalistiek
Category:ཉི་ཧུང་གི་མཚན་ཉིད་རིག་པ་བ།	Categorie:Japans filosoof
Category:ཁ་ཏར།	Categorie:Qatar
Category:ཀེ་རེ་གེཛུ་སུཏེན།	Categorie:Kirgizië
Category:ཀོ་རི་ཡ།	Categorie:Korea
Category:ཁུ་ཝི་ཐི།	Categorie:Koeweit
Category:ལེ་པ་ནོན།	Categorie:Libanon
Category:མལ་དིཝེསུ།	Categorie:Maldiven
Category:བྷར་མ།	Categorie:Myanmar
Category:བལ་ཡུལ།	Categorie:Nepal
Category:ཨོ་མན།	Categorie:Oman
Category:སེང་ག་གླིང་།	Categorie:Sri Lanka
Category:ཐ་ཇི་ཁེ་སི་ཏན།	Categorie:Tadzjikistan
Category:ཐེ་ཝན།	Categorie:Taiwan
Category:ཤར་ཏིམོར།	Categorie:Oost-Timor
Category:ཏུརཀ་མེ་ནི་སུཏན།	Categorie:Turkmenistan
Category:ཨུཛ་བེ་ཀིསུ་ཏན།	Categorie:Oezbekistan
Category:ཡི་ནེ་ཁྲེ་ཀྲི་ཨ་རབ་ཨེ་མེ་རེ་ཁྲི།	Categorie:Verenigde Arabische Emiraten
Category:ཧྥ་རན་སིའི་འཁྲབ་སྟོན་པ།	Categorie:Frans acteur
Template:User de-4	Sjabloon:Gebruiker de-4
Category:ཡུལ་སྐོར་གྱི་དེབ།	Categorie:Reisverhaal
Category:གསུང་རབ་ཀྱི་མི་སྣ།	Categorie:Persoon uit de Bijbel
Category:བོད་ཀྱི་ལོ་རྒྱུས།	Categorie:Geschiedenis van Tibet
Category:ཡོ་རོབ་གི་ལོ་རྒྱུས།	Categorie:Geschiedenis van Europa
Category:ཀི་རི་བ་ཏི།	Categorie:Kiribati
Category:སན་མ་རི་ནོ།	Categorie:San Marino
Category:རྗོར་ཌན།	Categorie:Jordanië
Category:ས་མོའ།	Categorie:Samoa
Category:ཁོ་ས་ཏ་རི་ཁ།	Categorie:Costa Rica
Category:ཏྲི་ནི་ཌད་དང་ཏྲོ་བེ་གོ	Categorie:Trinidad en Tobago
Category:སུ་རི་ནེམ།	Categorie:Suriname
