非洲	Afrika
Stellenbosch	Stellenbosch (stad)
Sverdlovsk-chû	Oblast Sverdlovsk
Cape Town	Kaapstad
Chuvash Khiung-fò-koet	Tsjoevasjië
Durban	Durban (Zuid-Afrika)
Cheboksary	Tsjeboksary
Tat-tat-sṳ̂-thán Khiung-fò-koet	Tatarije
Penza-chû	Oblast Penza
Là-fî-ngì	Rafaël (kunstenaar)
Pí-tet Lû-pún-sṳ̂	Peter Paul Rubens
Ulyanovsk-chû	Oblast Oeljanovsk
Gung-gung-hi-tsaa	Autobus
Kâ-thai-lò-nì-â	Catalonië
Bashkortostan Khiung-fò-koet	Basjkirostan
Chelyabinsk-chû	Oblast Tsjeljabinsk
Pâ-lùn-sî-â Chhṳ-chhṳ-khî	Valencia (autonome gemeenschap)
Khà-sṳ̂-tì-li-â lâu Lòi-ngong	Castilië en León
Kurgan-chû	Oblast Koergan
Mô Chhe̍t-tûng	Mao Zedong
Tyumen-chû	Oblast Tjoemen
Omsk-chû	Oblast Omsk
Thai-mí-ngì-ngî	Tamil
Chet-ho̍k	Filosofie
分類:Candidates for speedy deletion	Categorie:Wikipedia:Nuweg
Altai Khiung-fò-koet	Altaj (deelrepubliek)
Kòng-khìm	Piano (instrument)
Gorno-Altaysk	Gorno-Altajsk
Kemerovo-chû	Oblast Kemerovo
Hebe Camargo	Hebe Camargo
Chṳ̂-pún chú-ngi	Kapitalisme
Koet-kâ	Land (geografie)
Mìn-chhu̍k	Natie
Khanty-Mansi Chhṳ-chhṳ-khî	Chanto-Mansië
Yamalo-Nenets Chhṳ-chhṳ-khî	Jamalië
Montpellier	Montpellier
分類:Thiên-vùn-ho̍k	Categorie:Astronomie
Khakassia Khiung-fò-koet	Chakassië
Irkutsk-chû	Oblast Irkoetsk
Sakha Khiung-fò-koet	Jakoetië
Khiet-lò-âi-sî-â-ngî	Kroatisch
Hon-pó	Hamburger
Buryatia Khiung-fò-koet	Boerjatië
Vû-làn Vû-tet	Oelan-Oede
Amur-chû	Oblast Amoer
Ngi-sṳ̍p Sṳ-ki	20e eeuw
Gotha	Gotha (stad)
Dijon	Dijon
Kâ-thai-lò-nì-â-ngî	Catalaans (taal)
Nordhausen	Nordhausen (stad)
Kit-lò-na̍p-sén	Gerona (stad)
Eisenach	Eisenach
Se-pâu Sâng-vu̍t-ho̍k	Celbiologie
Sṳ-kie Ngiùn-hòng Si̍p-thòn	Wereldbank
A-la-pak Liên-mên	Arabische Liga
Mìn-tsú Tsú-ngi	Democratie
